MSR_Id,MedianCarSpeed,Latitude,Longitude,Direction,Canton,Name,Direction:1,Street
CH:0833.03,81.0,47.1495247,7.28852129,negative,BE,BUETTENBERGTUNNEL,negative,A 5
CH:0833.02,88.8000031,47.1495285,7.28862715,positive,BE,BUETTENBERGTUNNEL,positive,A 5
CH:0295.03,,47.5186005,8.01332283,negative,AG,OESCHGEN (AB),negative,A 3
CH:0833.04,81.0,47.1495209,7.2884469,negative,BE,BUETTENBERGTUNNEL,negative,A 5
CH:0295.02,,47.5185471,8.01325512,positive,AG,OESCHGEN (AB),positive,A 3
CH:0295.04,,47.5186234,8.01336098,negative,AG,OESCHGEN (AB),negative,A 3
CH:0607.03,112.599998,47.2851601,8.55674458,negative,ZH,THALWIL ( AB) - ZH104,negative,A 3
CH:0607.01,107.5,47.285099,8.55661392,positive,ZH,THALWIL ( AB) - ZH104,positive,A 3
CH:0607.02,103.199997,47.2851143,8.55665398,positive,ZH,THALWIL ( AB) - ZH104,positive,A 3
CH:0121.01,106.699997,46.9631577,6.86745024,positive,NE,"COLOMBIER, AREUSE (AR)",positive,A 5
CH:0121.03,118.0,46.9632301,6.86738586,negative,NE,"COLOMBIER, AREUSE (AR)",negative,A 5
CH:0309.01,100.099998,46.6897202,7.65987539,positive,BE,SPIEZ (AB),positive,A 6
CH:0017.04,97.0,47.3879013,8.10109329,negative,AG,BUCHS AG (AB),negative,A 1R
CH:0309.03,115.5,46.6898193,7.6599555,negative,BE,SPIEZ (AB),negative,A 6
CH:0017.02,105.0,47.3878136,8.10109901,positive,AG,BUCHS AG (AB),positive,A 1R
CH:0309.02,103.0,46.6897469,7.65990067,positive,BE,SPIEZ (AB),positive,A 6
CH:0017.01,97.4000015,47.3877869,8.10109997,positive,AG,BUCHS AG (AB),positive,A 1R
CH:0309.04,107.099998,46.689846,7.65997982,negative,BE,SPIEZ (AB),negative,A 6
CH:0551.02,,47.4897232,7.77321196,negative,#N/A,#N/A,negative,#N/A
CH:0551.01,,47.4897079,7.77317429,negative,#N/A,#N/A,negative,#N/A
CH:0133.02,66.0,46.7885818,10.2703562,negative,GR,SCHULS W,negative,H 27
CH:0133.01,68.0,46.788559,10.2703848,positive,GR,SCHULS W,positive,H 27
CH:0563.01,42.7999992,47.3478317,8.42538357,,ZH,ANSCHLUSS BIRMENSDORF 1 EIN-AUSFAHRT (AB) -ZH1105,,A 4
CH:0271.04,,46.9365654,7.49132204,positive,BE,MURI BE N (AB),positive,A 6
CH:0271.02,,46.9364853,7.49126005,negative,BE,MURI BE N (AB),negative,A 6
CH:0189.01,61.7999992,47.0679474,6.76749563,negative,NE,LE LOCLE E,negative,H 20
CH:0189.03,,47.0680046,6.7674098,positive,NE,LE LOCLE E,positive,H 20
CH:0246.01,83.4000015,47.6509171,9.15401936,positive,TG,"KREUZLINGEN, GIRSBAERGTUNNEL N (AB)",positive,A 7
CH:0005.01,60.0,47.0001717,9.07611847,positive,GL,SCHWANDEN N,positive,H 17
CH:0676.02,106.5,47.0044861,6.96373463,positive,NE,HAUTERIVE (AR),positive,A 5
CH:0005.02,61.0,47.0001945,9.07607269,negative,GL,SCHWANDEN N,negative,H 17
CH:0676.01,96.0,47.0044327,6.96377087,positive,NE,HAUTERIVE (AR),positive,A 5
CH:0619.01,78.8000031,47.1987953,8.45815659,negative,ZG,BLEGI S (AB),negative,A 4
CH:0246.02,85.0,47.6509323,9.1539793,positive,TG,"KREUZLINGEN, GIRSBAERGTUNNEL N (AB)",positive,A 7
CH:0619.02,84.8000031,47.1987762,8.45821381,negative,ZG,BLEGI S (AB),negative,A 4
CH:0526.02,34.0,46.1772385,8.70099926,negative,TI,INTRAGNA-CENTOVALLI,negative,H 560
CH:0526.01,33.2999992,46.1772423,8.70101738,positive,TI,INTRAGNA-CENTOVALLI,positive,H 560
CH:0197.02,40.0999985,46.9321785,8.39255524,positive,NW,DALLENWIL,positive,H 374
CH:0197.01,43.0,46.9321785,8.39249706,negative,NW,DALLENWIL,negative,H 374
CH:0060.03,109.5,47.3117371,7.81936598,positive,SO,GUNZGEN (AB),positive,A 1
CH:0059.03,116.099998,46.9975243,6.95203161,negative,NE,TRAV. DE NEUCHATEL E (AR),negative,A 5
CH:0060.01,97.8000031,47.3116798,7.81934834,positive,SO,GUNZGEN (AB),positive,A 1
CH:0059.04,104.699997,46.9975586,6.95204258,negative,NE,TRAV. DE NEUCHATEL E (AR),negative,A 5
CH:0060.06,96.3000031,47.3116646,7.82073593,negative,SO,GUNZGEN (AB),negative,A 1
CH:0060.05,102.5,47.3116417,7.82073593,negative,SO,GUNZGEN (AB),negative,A 1
CH:0060.04,109.0,47.3116188,7.82072592,negative,SO,GUNZGEN (AB),negative,A 1
CH:0632.01,62.7000008,46.840435,9.86384869,positive,GR,"DAVOS N, LARET - GR0237",positive,H 28
CH:0632.02,69.5,46.8404083,9.86387062,negative,GR,"DAVOS N, LARET - GR0237",negative,H 28
CH:0214.01,96.3000031,46.9513626,7.38445044,positive,BE,"BERN, BRUENNENTUNNEL (AB)",positive,A 1
CH:0214.03,103.300003,46.9514008,7.38430834,negative,BE,"BERN, BRUENNENTUNNEL (AB)",negative,A 1
CH:0538.01,95.4000015,46.4575233,6.88343573,positive,VD,MONTREUX (AR),positive,A 9
CH:0374.02,102.300003,47.3299561,8.52897263,positive,ZH,WOLLISHOFEN (AB) RI SARGANS - ZH1215,positive,A 3
CH:0538.02,105.300003,46.4575539,6.88345242,positive,VD,MONTREUX (AR),positive,A 9
CH:0374.04,49.0,47.3286476,8.5283308,,ZH,WOLLISHOFEN (AB) RI SARGANS - ZH1215,,A 3
CH:0538.03,119.0,46.4574051,6.88471556,negative,VD,MONTREUX (AR),negative,A 9
CH:0072.04,,47.3822136,8.11100578,negative,AG,HUNZENSCHWIL (AB),negative,A 1
CH:0538.04,107.400002,46.4574394,6.88472128,negative,VD,MONTREUX (AR),negative,A 9
CH:0374.01,53.4000015,47.3286629,8.5282402,,ZH,WOLLISHOFEN (AB) RI SARGANS - ZH1215,,A 3
CH:0329.04,110.5,46.942585,7.15328026,negative,FR,"MURTEN, LOEWENBERG (AB)",negative,A 1
CH:0329.01,114.199997,46.9425468,7.15356207,positive,FR,"MURTEN, LOEWENBERG (AB)",positive,A 1
CH:0258.01,39.5,46.4699211,9.71702957,negative,GR,"JULIER, LA VEDUTA",negative,H 3
CH:0258.02,46.0,46.4699326,9.71708584,positive,GR,"JULIER, LA VEDUTA",positive,H 3
CH:0165.02,124.599998,46.1188583,7.06942511,positive,VS,MARTIGNY N (AR),positive,A 9
CH:0165.03,123.199997,46.1189003,7.06951141,negative,VS,MARTIGNY N (AR),negative,A 9
CH:0759.03,123.0,47.37397,8.69842052,negative,ZH,NAENIKON,negative,A 15
CH:0759.02,123.0,47.3739166,8.69839096,positive,ZH,NAENIKON,positive,A 15
CH:0759.01,109.900002,47.3738899,8.69837284,positive,ZH,NAENIKON,positive,A 15
CH:0853.04,79.5,47.1577911,7.27066898,positive,BE,BIENNE NORD (AB),positive,A 16
CH:0853.01,83.6999969,47.1575661,7.27069616,negative,BE,BIENNE NORD (AB),negative,A 16
CH:0165.01,114.0,46.1188354,7.06939268,positive,VS,MARTIGNY N (AR),positive,A 9
CH:0853.03,90.0,47.157753,7.27067518,positive,BE,BIENNE NORD (AB),positive,A 16
CH:0324.02,126.400002,46.5485382,6.91519976,positive,FR,CHATEL-ST-DENIS N (AR),positive,A 12
CH:0324.01,119.099998,46.5485382,6.91524935,positive,FR,CHATEL-ST-DENIS N (AR),positive,A 12
CH:0244.04,85.0,47.4981003,7.60279083,positive,BL,REINACH BL (AB),positive,A 18
CH:0324.04,117.099998,46.5485382,6.91507149,negative,FR,CHATEL-ST-DENIS N (AR),negative,A 12
CH:0324.03,124.199997,46.5485382,6.91512203,negative,FR,CHATEL-ST-DENIS N (AR),negative,A 12
CH:0244.02,94.0,47.4982262,7.60272312,negative,BL,REINACH BL (AB),negative,A 18
CH:0244.03,93.8000031,47.4981117,7.60274601,positive,BL,REINACH BL (AB),positive,A 18
CH:0244.01,85.5999985,47.4982338,7.60268688,negative,BL,REINACH BL (AB),negative,A 18
CH:0096.01,114.599998,46.8375549,9.45603275,negative,GR,DOMAT/EMS (AB),negative,A 13
CH:0096.02,123.599998,46.8375168,9.45602131,negative,GR,DOMAT/EMS (AB),negative,A 13
CH:0096.03,121.900002,46.8374443,9.45605183,positive,GR,DOMAT/EMS (AB),positive,A 13
CH:0096.04,112.0,46.8374062,9.45606327,positive,GR,DOMAT/EMS (AB),positive,A 13
CH:0518.01,50.0,47.3933449,8.49398518,,ZH,ZUERICH HARDTURM (AB),,A 1H
CH:0518.02,63.5999985,47.3933868,8.49397659,positive,ZH,ZUERICH HARDTURM (AB),positive,A 1H
CH:0518.05,62.5,47.3936844,8.49397182,negative,ZH,ZUERICH HARDTURM (AB),negative,A 1H
CH:0312.02,,47.4489746,8.23756599,positive,AG,MUELLIGEN OST (AB) - AG1422,positive,A 3
CH:0312.04,,47.4490738,8.23762131,negative,AG,MUELLIGEN OST (AB) - AG1422,negative,A 3
CH:0312.01,,47.4489441,8.23754787,positive,AG,MUELLIGEN OST (AB) - AG1422,positive,A 3
CH:0633.01,70.0,46.7018738,9.72562218,positive,GR,WIESEN E - GR0239,positive,H 417
CH:0232.02,127.0,46.1483078,7.15339613,positive,VS,SAXON W (AR),positive,A 9
CH:0232.01,118.300003,46.1482811,7.15343475,positive,VS,SAXON W (AR),positive,A 9
CH:0336.02,,47.3215561,7.9656868,positive,AG,WALTERSWIL (AB) - AG1413,positive,A 1
CH:0852.03,126.699997,46.1152306,7.09860849,positive,VS,ECHANGEUR GD.ST.BERNARD EST (AR),positive,A 9
CH:0852.04,123.699997,46.1152916,7.09855127,negative,VS,ECHANGEUR GD.ST.BERNARD EST (AR),negative,A 9
CH:0852.05,114.900002,46.1153183,7.09853125,negative,VS,ECHANGEUR GD.ST.BERNARD EST (AR),negative,A 9
CH:0232.04,117.5,46.1483841,7.15328741,negative,VS,SAXON W (AR),negative,A 9
CH:0852.06,92.1999969,46.1153603,7.09849644,negative,VS,ECHANGEUR GD.ST.BERNARD EST (AR),negative,A 9
CH:0852.01,90.1999969,46.1151695,7.09865665,positive,VS,ECHANGEUR GD.ST.BERNARD EST (AR),positive,A 9
CH:0393.03,55.5,46.843853,8.2007618,,OW,"SACHSELN, ZOLLHAUS",,A 8
CH:0393.06,51.0,46.8433418,8.2001009,,OW,"SACHSELN, ZOLLHAUS",,A 8
CH:0393.05,78.8000031,46.8433647,8.20007515,positive,OW,"SACHSELN, ZOLLHAUS",positive,A 8
CH:0506.02,52.0,46.1714745,8.77140617,negative,TI,SOLDUNO N,negative,H 407
CH:0506.01,49.7000008,46.1714516,8.77139473,positive,TI,SOLDUNO N,positive,H 407
CH:0393.01,57.0,46.843544,8.20008469,negative,OW,"SACHSELN, ZOLLHAUS",negative,A 8
CH:0300.02,115.199997,46.477169,6.41126871,positive,VD,ETOY (AR),positive,A 1
CH:0025.02,120.5,47.0144577,9.50470352,negative,SG,BAD RAGAZ (AB),negative,A 13
CH:0025.01,110.900002,47.0144196,9.50469589,negative,SG,BAD RAGAZ (AB),negative,A 13
CH:0300.01,108.300003,46.4771347,6.4112587,positive,VD,ETOY (AR),positive,A 1
CH:0300.04,107.099998,46.4772758,6.411304,negative,VD,ETOY (AR),negative,A 1
